dates,population,labor force,participation rate,employed,unemployed,unemployment rate,nonfarm payrolls,job openings,job layoffs,prime age unemployment,prime age employment,prime age participation rate,youth unemployment,youth employment,youth participation rate,mining payrolls,construction payrolls,manufacturing payrolls,trade & utilities payrolls,information payrolls,financial services payrolls,professional services payrolls,education & healthcare payrolls,leisure & hospitality payrolls,other services payrolls,government payrolls,mining openings,construction openings,manufacturing openings,trade & utilities openings,information openings,financial services openings,professional services openings,education & healthcare openings,leisure & hospitality openings,other services openings,government openings,mining unemployed,construction unemployed,manufacturing unemployed,trade & utilities unemployed,information unemployed,financial services unemployed,professional services unemployed,education & healthcare unemployed,leisure & hospitality unemployed,other services unemployed,government unemployed
30/04/2001,214525,143569,66.92413472,137299,6270,4.367238053,132457,3.4,1.4,3450,98293,91,1183,13419,82,609,6844,16802,26007,3686,7889,16698,15672,12040,5219,20992,18,226,354,848,171,223,834,708,582,162,490,24,596,855,1052,148,232,655,341,744,220,369
31/05/2001,214732,143318,66.74273047,137092,6226,4.344185657,132409,3.2,1.5,3559,98251,91,1164,13257,81,609,6849,16660,25992,3663,7898,16654,15747,12068,5239,21029,15,224,327,721,108,265,750,812,527,192,486,34,478,903,1053,164,191,652,390,731,172,361
30/06/2001,214950,143357,66.69318446,136873,6484,4.522974114,132299,3.2,1.5,3642,97977,91,1186,13202,81,610,6840,16513,25958,3642,7905,16588,15784,12076,5247,21137,10,174,324,714,114,266,768,765,447,248,531,26,443,956,1197,163,249,694,476,821,246,525
31/07/2001,215180,143654,66.75992193,137071,6583,4.5825386,132171,3.3,1.5,3723,97917,91,1142,13329,81,610,6845,16381,25886,3619,7892,16535,15840,12110,5269,21185,12,178,308,677,115,257,756,804,588,242,509,17,447,1054,1069,206,289,731,513,813,228,548
31/08/2001,215420,143284,66.51378702,136241,7043,4.915412747,132021,3,1.5,3976,97679,91,1292,13208,81,608,6827,16233,25875,3598,7916,16473,15900,12093,5280,21218,13,127,266,580,117,248,594,847,544,201,487,18,522,1023,1154,210,256,790,595,767,241,540
30/09/2001,215665,143989,66.76512183,136846,7143,4.960795616,131763,3,1.6,4047,97631,91,1238,13482,82,606,6813,16116,25790,3581,7916,16387,15958,12061,5293,21242,11,167,338,606,67,261,644,772,540,233,434,23,489,996,1150,219,268,810,455,900,225,438
31/10/2001,215903,144086,66.73645109,136392,7694,5.339866469,131452,2.7,1.8,4439,97347,91,1334,13259,81,602,6804,15973,25718,3557,7925,16285,15999,12015,5299,21275,11,141,265,647,73,212,576,758,375,192,458,32,535,1065,1262,233,281,910,486,903,239,429
30/11/2001,216117,144240,66.74162606,136238,8002,5.547698281,131144,2.8,1.7,4683,97002,91,1362,13318,81,600,6784,15825,25632,3536,7940,16158,16044,11985,5314,21326,7,164,230,630,91,212,604,733,452,166,486,20,670,1108,1348,241,320,946,516,935,256,420
31/12/2001,216315,144305,66.7105841,136047,8258,5.722601434,130983,2.7,1.5,4745,97140,91,1421,13286,81,597,6785,15712,25548,3521,7934,16132,16098,11967,5334,21355,17,124,231,612,101,204,585,746,434,174,449,27,785,1172,1384,275,258,921,483,938,277,419
31/01/2002,216506,143883,66.45681875,135701,8182,5.686564778,130859,2.7,1.5,4810,96970,91,1417,13110,81,600,6775,15588,25486,3495,7939,16096,16153,12006,5344,21377,15,129,262,616,92,306,592,756,356,165,410,33,1211,1377,1580,263,267,1120,586,947,304,486
